theta_frac_pi,w,seed,best_cost,wall_time_s
0.05,0.5,4,51822.49609375,0.5585573436692357
0.05,0.6,0,49819.640625,0.557902310974896
0.05,0.6,1,57130.546875,0.5576797910034657
0.05,0.6,2,57488.16015625,0.5574276191182435
0.05,0.6,3,51680.89453125,0.5579418819397688
0.05,0.6,4,52302.16796875,0.5571570619940758
0.05,0.7,0,50768.421875,0.5548615003935993
0.05,0.7,1,57849.046875,0.5537434578873217
0.05,0.7,2,57884.48046875,0.5544918142259121
0.05,0.7,3,52520.28515625,0.5564356930553913
0.05,0.7,4,52411.203125,0.5548780662938952
0.05,0.8,0,303554.3125,0.5588105078786612
0.05,0.8,1,798030.625,0.5515975342132151
0.05,0.8,2,829624.125,0.5578169007785618
0.05,0.8,3,767483.0,0.5527483951300383
0.05,0.8,4,443413.96875,0.565666631795466
0.05,0.9,0,844160.1875,0.5523653929121792
0.05,0.9,1,1081241.375,0.556334849447012
0.05,0.9,2,1093031.125,0.5519884126260877
0.05,0.9,3,1270562.0,0.543106637429446
0.05,0.9,4,1030452.8125,0.5436344682238996
0.08,0.4,0,50046.0546875,0.5555990850552917
0.08,0.4,1,56488.3359375,0.5569880860857666
0.08,0.4,2,57247.48828125,0.5564806149341166
0.08,0.4,3,53166.33984375,0.5613099397160113
0.08,0.4,4,52152.91796875,0.5569276669993997
0.08,0.5,0,48562.0625,0.55736577603966
0.08,0.5,1,56716.1171875,0.5567232933826745
0.08,0.5,2,56808.9921875,0.5554137099534273
0.08,0.5,3,52662.140625,0.5566284828819335
0.08,0.5,4,51934.96484375,0.5565419499762356
0.08,0.6,0,50202.2578125,0.5571997310034931
0.08,0.6,1,57086.11328125,0.5561195621266961
0.08,0.6,2,58112.9921875,0.558436986990273
0.08,0.6,3,52017.7109375,0.5549415820278227
0.08,0.6,4,51295.4765625,0.5565639440901577
0.08,0.7,0,52583.32421875,0.5530942529439926
0.08,0.7,1,58680.6796875,0.561538266018033
0.08,0.7,2,57845.5859375,0.5582227068953216
0.08,0.7,3,55683.90234375,0.555632930714637
0.08,0.7,4,52611.37109375,0.5512398965656757
0.08,0.8,0,160648.96875,0.554857247043401
0.08,0.8,1,689052.9375,0.5546673736535013
0.08,0.8,2,707745.625,0.5527002806775272
0.08,0.8,3,713679.9375,0.5595862427726388
0.08,0.8,4,498878.375,0.5575446747243404
0.08,0.9,0,844160.1875,0.547473968937993
0.08,0.9,1,1081241.375,0.545555486343801
0.08,0.9,2,1093031.125,0.545998910907656
0.08,0.9,3,1270562.0,0.5452450849115849
0.08,0.9,4,1030452.8125,0.5489441496320069
0.12,0.4,0,50511.04296875,0.5596029763109982
0.12,0.4,1,56831.42578125,0.5575208831578493
0.12,0.4,2,57629.41015625,0.5582977952435613
0.12,0.4,3,53937.41796875,0.5595800667069852
0.12,0.4,4,52761.08984375,0.5564445122145116
0.12,0.5,0,50079.8671875,0.5574877168983221
0.12,0.5,1,57102.44140625,0.5564931333065033
0.12,0.5,2,56970.1328125,0.555071942973882
0.12,0.5,3,52856.63671875,0.5616310178302228
0.12,0.5,4,52864.6953125,0.5638565612025559
0.12,0.6,0,50212.32421875,0.5552988229319453
0.12,0.6,1,56989.453125,0.5641962941735983
0.12,0.6,2,57397.28125,0.5595455979928374
0.12,0.6,3,51577.86328125,0.5599636668339372
0.12,0.6,4,52817.6953125,0.5603273035958409
0.12,0.7,0,50458.4296875,0.556611058767885
0.12,0.7,1,60097.3515625,0.5551765621639788
0.12,0.7,2,59770.21875,0.5543020539917052
0.12,0.7,3,55107.4921875,0.5580647429451346
